,n_row,n_col,sigma,lr,n_iter,q_error
0,3,3,2.0,0.005,100000,7.600362773677457
1,3,3,2.0,0.005,500000,7.587867504998604
2,3,3,2.0,0.005,1000000,7.574871558521165
3,3,3,2.0,0.05,100000,7.612292099186384
4,3,3,2.0,0.05,500000,7.597425682402956
5,3,3,2.0,0.05,1000000,7.583927739040443
6,3,3,2.0,0.5,100000,7.717109654510036
7,3,3,2.0,0.5,500000,7.798036276388729
8,3,3,2.0,0.5,1000000,7.716115988030228
9,3,3,1.0,0.005,100000,7.206430089739569
10,3,3,1.0,0.005,500000,7.201159961630162
11,3,3,1.0,0.005,1000000,7.201248439167867
12,3,3,1.0,0.05,100000,7.20665680513493
13,3,3,1.0,0.05,500000,7.20540506580823
14,3,3,1.0,0.05,1000000,7.206897807672304
15,3,3,1.0,0.5,100000,7.582234980518781
16,3,3,1.0,0.5,500000,7.523296542680283
17,3,3,1.0,0.5,1000000,7.554825955740824
18,3,3,0.5,0.005,100000,7.263624150015193
19,3,3,0.5,0.005,500000,7.1668542122961565
20,3,3,0.5,0.005,1000000,7.199674924969379
21,3,3,0.5,0.05,100000,7.19861824919102
22,3,3,0.5,0.05,500000,7.2106949316396465
23,3,3,0.5,0.05,1000000,7.217944668470414
24,3,3,0.5,0.5,100000,7.644275960899461
25,3,3,0.5,0.5,500000,7.593928969002493
26,3,3,0.5,0.5,1000000,7.592078975937781
