,n_row,n_col,sigma,lr,n_iter,q_error
0,3.0,3.0,2.0,0.005,100.0,1.5640482138031233
1,3.0,3.0,2.0,0.005,500.0,0.9633662155585349
2,3.0,3.0,2.0,0.005,1000.0,0.6665061106534446
3,3.0,3.0,2.0,0.05,100.0,0.8598617361477022
4,3.0,3.0,2.0,0.05,500.0,0.3024266076606572
5,3.0,3.0,2.0,0.05,1000.0,0.28586223149188206
6,3.0,3.0,2.0,0.5,100.0,0.40801578689988477
7,3.0,3.0,2.0,0.5,500.0,0.2727936780922783
8,3.0,3.0,2.0,0.5,1000.0,0.3060001681458809
9,3.0,3.0,1.0,0.005,100.0,1.6110399015446708
10,3.0,3.0,1.0,0.005,500.0,0.9517359875777891
11,3.0,3.0,1.0,0.005,1000.0,0.661713828188948
12,3.0,3.0,1.0,0.05,100.0,0.7068640778546871
13,3.0,3.0,1.0,0.05,500.0,0.29588288300800303
14,3.0,3.0,1.0,0.05,1000.0,0.2590892604748052
15,3.0,3.0,1.0,0.5,100.0,0.35624199742425783
16,3.0,3.0,1.0,0.5,500.0,0.23268257236121467
17,3.0,3.0,1.0,0.5,1000.0,0.24654289627857565
18,3.0,3.0,0.5,0.005,100.0,1.6435918093268536
19,3.0,3.0,0.5,0.005,500.0,0.9982049827981757
20,3.0,3.0,0.5,0.005,1000.0,0.6670450108017978
21,3.0,3.0,0.5,0.05,100.0,0.6852293571840138
22,3.0,3.0,0.5,0.05,500.0,0.43259632795353353
23,3.0,3.0,0.5,0.05,1000.0,0.3337019651586006
24,3.0,3.0,0.5,0.5,100.0,0.47448158151869213
25,3.0,3.0,0.5,0.5,500.0,0.2795836852512377
26,3.0,3.0,0.5,0.5,1000.0,0.22809121787437817
